function,APR_75,APR_90,APR_100,APR_110,APR_130,APR_160,JUN_75,JUN_90,JUN_100,JUN_110,JUN_130,JUN_160,AUG_75,AUG_90,AUG_100,AUG_110,AUG_130,AUG_160,OCT_75,OCT_90,OCT_100,OCT_110,OCT_130,OCT_160
K09012,32,32,11,3,2,0,61,78,36,22,24,3,8,11,13,11,13,2,3,14,21,9,31,2
K09013,14422.7,12655.83,9429.83,7644.28,6444.25,4204.33,9283.83,8937.58,11047.17,9302.17,10073.17,5677.08,6491,4808.15,6553.87,5273.08,6694.28,2419.4,9356.83,6833.25,15074,11174.25,8442.92,4968.75
K09014,14097.7,12389.83,8721.83,6343.28,3950.25,2384.33,8621.83,8379.58,10618.17,8631.17,9426.17,5140.08,6250,4603.15,6314.87,4883.08,6014.28,1882.4,8928.83,6411.25,14178,10532.25,8037.92,4060.75
K09015,13242.7,11658.83,8698.83,6968.28,5130.25,3252.33,8483.83,8300.58,10386.17,8658.17,9465.17,5439.08,6066,4476.15,6143.87,4893.08,6262.28,2151.4,8689.83,6195.25,13759,10152.25,7526.92,4490.75
K09017,3863.2,3549.83,2175.83,1197.7,593,322.5,3250,3180.33,3721.83,3890.33,2304.33,168.5,2563,2008.73,2574.2,1878.5,1185.2,101.23,4156.33,1582.92,4461.17,3416.08,2518.25,175.83
K09018,0.2,0,0,0.2,0,0,0,0,0,0,0,0,48,0.4,54.2,5,0.2,1.4,0,0,0,0,0,0
K09019,1005,995,3440,8565,8448,4573,2391,1869,2229,2763,12032,8663,819,752,1206,2928,10454,784,1558,4641,5278,2098,1000,7699
K09020,10.2,6,16,2.2,0,0,20,12,18,18,42,2,91,26.4,177.2,31,20.2,2.4,4,0,0,8,0,0
K09021,0.2,0,0,0.2,0,0,0,0,0,0,0,0,65,2.4,119.2,17,0.2,2.4,0,0,0,0,0,0
K09022,2772.5,2420.83,2752.33,4232.33,4928,3220.83,2989.83,3068.83,2519.17,3699.17,3730.67,3470.33,1246,1013.5,1181.17,1473.33,2868.33,2994.5,2269.33,1926,4555,2968,2157.17,2280.5
K09023,0.2,0,0,0.2,0,0,0,0,0,0,0,0,82,4.4,184.2,29,0.2,3.4,0,0,0,0,0,0
