"","APR_75","APR_90","APR_100","APR_110","APR_130","APR_160","JUN_75","JUN_90","JUN_100","JUN_110","JUN_130","JUN_160","AUG_75","AUG_90","AUG_100","AUG_110","AUG_130","AUG_160","OCT_75","OCT_90","OCT_100","OCT_110","OCT_130","OCT_160"
"BACT171",1,2,11,55,37,37,0,2,2,2,2,3,2,3,1,3,7,1,1,1,0,0,0,1
"BACT221",2,3,3,0,0,0,7,6,11,9,0,0,3,1,0,0,1,0,13,8,30,22,19,3
"BACT220",14,20,6,0,0,0,15,15,11,10,5,0,12,6,3,3,3,0,3,3,5,5,7,2
"BACT91",7,10,8,4,0,0,37,34,22,23,20,0,17,12,3,19,1,0,18,10,53,21,25,2
"BACT246",38,33,6,1,2,0,5,8,12,9,6,0,4,1,2,2,3,0,8,3,10,6,4,0
"BACT181",18,14,6,0,0,0,11,15,20,26,16,1,8,7,5,5,12,0,8,5,11,13,12,0
"BACT254",2,1,5,0,0,0,16,6,7,12,3,0,6,1,2,5,0,0,14,3,15,19,6,2
"BACT234",4,1,7,16,1,0,4,8,11,14,16,6,9,5,14,8,9,0,23,0,19,9,20,0
"BACT200",15,14,3,1,0,0,20,19,17,14,4,1,9,9,5,3,5,0,11,2,10,10,18,2
"BACT332",9,2,5,1,1,0,10,2,2,2,0,0,0,1,0,0,0,0,15,5,30,17,10,0
"BACT253",2,1,4,9,0,0,22,11,5,5,5,0,3,1,2,1,0,0,9,5,16,17,10,2
"BACT327",6,5,8,2,0,0,26,13,9,14,10,0,6,2,4,3,5,0,9,2,28,20,9,0
"BACT2440",0,0,13,3,0,0,2,8,12,9,37,0,0,0,5,11,8,1,2,14,15,6,2,0
"BACT170",2,7,7,15,0,0,10,8,8,5,29,1,3,4,8,11,17,0,19,8,15,12,8,1
"BACT274",28,24,5,1,0,0,21,22,12,23,9,0,4,3,1,4,3,0,16,8,29,9,20,1
"BACT177",0,0,4,19,56,45,0,1,0,3,4,7,0,0,0,1,14,6,0,5,4,3,0,41
"BACT237",3,4,9,2,2,1,21,21,15,31,25,0,10,6,5,3,1,0,26,8,23,14,12,2
"BACT998",22,12,13,3,0,0,7,1,10,3,8,0,8,4,5,2,3,0,8,12,22,25,19,0
"BACT32",0,0,1,20,416,319,0,1,0,1,2,90,0,2,1,12,31,111,0,1,1,0,0,73
"BACT42",85,54,5,1,0,0,45,88,112,82,33,1,65,54,82,42,29,2,21,8,24,38,44,4
"BACT361",2,3,1,0,1,0,8,10,9,10,9,2,2,1,1,0,1,0,3,14,20,9,28,2
"BACT46",18,12,3,8,7,4,35,26,17,20,11,2,33,19,19,15,9,2,44,29,41,43,56,1
"BACT2746",0,0,4,38,41,18,0,1,1,3,26,68,0,0,0,4,40,1,0,11,3,0,0,57
"BACT159",19,7,2,2,0,0,14,31,12,18,6,1,6,6,7,8,7,1,0,3,3,38,9,1
"BACT122",1,1,1,5,4,0,26,15,11,9,2,0,9,7,6,5,1,0,20,5,19,18,8,0
"BACT95",10,18,3,1,0,0,4,8,1,1,7,0,4,3,0,5,1,0,9,4,14,17,12,0
"BACT195",6,1,4,4,2,0,25,18,13,17,26,2,14,4,8,8,1,0,9,8,29,18,7,0
"BACT173",1,1,9,40,27,19,3,0,5,3,12,7,0,0,0,8,7,3,1,14,18,3,1,13
"BACT180",1,1,5,0,0,0,13,10,4,6,1,1,10,7,5,1,3,0,16,4,40,29,13,0
